date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:03	78484/78484	---MCZ	200	added ('OK')	text/html	etag:W/%22634a1be0-13294%22	https://brucecai55520.gitee.io/bruceblog/notes/nodejs/node.html	C:/My%20Web%20Sites/nodejs/brucecai55520.gitee.io/bruceblog/notes/nodejs/node.html	(from )
11:48:03	127/127	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2014%20Nov%202022%2003:48:04%20GMT	https://brucecai55520.gitee.io/robots.txt		(from )
11:48:04	16846/16846	---M--	200	added ('OK')	image/png	etag:%22634a1be0-41ce%22	https://brucecai55520.gitee.io/bruceblog/img/logo.png	C:/My%20Web%20Sites/nodejs/brucecai55520.gitee.io/bruceblog/img/logo.png	(from https://brucecai55520.gitee.io/bruceblog/notes/nodejs/node.html)
11:48:04	25982/25982	---MCZ	200	added ('OK')	text/css	etag:W/%22634a1be0-657e%22	https://brucecai55520.gitee.io/bruceblog/assets/css/0.styles.748e9da5.css	C:/My%20Web%20Sites/nodejs/brucecai55520.gitee.io/bruceblog/assets/css/0.styles.748e9da5.css	(from https://brucecai55520.gitee.io/bruceblog/notes/nodejs/node.html)
11:48:04	273942/273942	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a1be0-42e16%22	https://brucecai55520.gitee.io/bruceblog/assets/js/app.61d3ee39.js	C:/My%20Web%20Sites/nodejs/brucecai55520.gitee.io/bruceblog/assets/js/app.61d3ee39.js	(from https://brucecai55520.gitee.io/bruceblog/notes/nodejs/node.html)
11:48:04	35461/35461	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a1be0-8a85%22	https://brucecai55520.gitee.io/bruceblog/assets/js/2.19982ce3.js	C:/My%20Web%20Sites/nodejs/brucecai55520.gitee.io/bruceblog/assets/js/2.19982ce3.js	(from https://brucecai55520.gitee.io/bruceblog/notes/nodejs/node.html)
11:48:04	91294/91294	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a1be0-1649e%22	https://brucecai55520.gitee.io/bruceblog/assets/js/34.4ab2ae0b.js	C:/My%20Web%20Sites/nodejs/brucecai55520.gitee.io/bruceblog/assets/js/34.4ab2ae0b.js	(from https://brucecai55520.gitee.io/bruceblog/notes/nodejs/node.html)
11:48:05	1830/1830	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a1be0-726%22	https://brucecai55520.gitee.io/bruceblog/assets/js/10.78aedeef.js	C:/My%20Web%20Sites/nodejs/brucecai55520.gitee.io/bruceblog/assets/js/10.78aedeef.js	(from https://brucecai55520.gitee.io/bruceblog/notes/nodejs/node.html)
11:48:05	63043/63043	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a1be0-f643%22	https://brucecai55520.gitee.io/bruceblog/assets/js/11.ee9c8590.js	C:/My%20Web%20Sites/nodejs/brucecai55520.gitee.io/bruceblog/assets/js/11.ee9c8590.js	(from https://brucecai55520.gitee.io/bruceblog/notes/nodejs/node.html)
11:48:05	33580/33580	---MCZ	200	added ('OK')	application/javascript	etag:W/%22634a1be0-832c%22	https://brucecai55520.gitee.io/bruceblog/assets/js/12.9849068a.js	C:/My%20Web%20Sites/nodejs/brucecai55520.gitee.io/bruceblog/assets/js/12.9849068a.js	(from https://brucecai55520.gitee.io/bruceblog/notes/nodejs/node.html)
